InstanceType,vCPUs,MemoryGiB,Storage,BaseClockSpeedGhz,Region
r6id.24xlarge,96,768.0,5700,3.5,ap-northeast-2
g5g.8xlarge,32,64.0,N/A,2.5,ap-northeast-2
r7g.4xlarge,16,128.0,N/A,2.6,ap-northeast-2
m5ad.24xlarge,96,384.0,3600,2.2,ap-northeast-2
m7i.48xlarge,192,768.0,N/A,3.2,ap-northeast-2
c5.metal,96,192.0,N/A,3.6,ap-northeast-2
x2iedn.4xlarge,16,512.0,475,3.5,ap-northeast-2
r4.xlarge,4,30.5,N/A,2.3,ap-northeast-2
i3.xlarge,4,30.5,950,2.3,ap-northeast-2
g5.16xlarge,64,256.0,1900,3.3,ap-northeast-2
m5.4xlarge,16,64.0,N/A,3.1,ap-northeast-2
t4g.large,2,8.0,N/A,2.5,ap-northeast-2
r5dn.metal,96,768.0,3600,3.1,ap-northeast-2
m7g.xlarge,4,16.0,N/A,2.6,ap-northeast-2
r3.2xlarge,8,61.0,160,2.5,ap-northeast-2
c5n.18xlarge,72,192.0,N/A,3.4,ap-northeast-2
u-24tb1.112xlarge,448,24576.0,N/A,2.7,ap-northeast-2
r5d.xlarge,4,32.0,150,3.1,ap-northeast-2
m6i.metal,128,512.0,N/A,3.5,ap-northeast-2
r4.2xlarge,8,61.0,N/A,2.3,ap-northeast-2
t4g.micro,2,1.0,N/A,2.5,ap-northeast-2
c5.9xlarge,36,72.0,N/A,3.4,ap-northeast-2
u-6tb1.56xlarge,224,6144.0,N/A,2.1,ap-northeast-2
inf1.6xlarge,24,48.0,N/A,2.5,ap-northeast-2
r5dn.large,2,16.0,75,3.1,ap-northeast-2
t3.micro,2,1.0,N/A,2.5,ap-northeast-2
c7i.metal-48xl,192,384.0,N/A,3.2,ap-northeast-2
m6id.metal,128,512.0,7600,3.5,ap-northeast-2
m5zn.12xlarge,48,192.0,N/A,4.5,ap-northeast-2
m7i-flex.4xlarge,16,64.0,N/A,3.2,ap-northeast-2
r5n.24xlarge,96,768.0,N/A,3.1,ap-northeast-2
c7g.2xlarge,8,16.0,N/A,2.6,ap-northeast-2
c5a.16xlarge,64,128.0,N/A,3.3,ap-northeast-2
r7i.12xlarge,48,384.0,N/A,3.2,ap-northeast-2
r5.16xlarge,64,512.0,N/A,3.1,ap-northeast-2
c6in.2xlarge,8,16.0,N/A,3.5,ap-northeast-2
r5.8xlarge,32,256.0,N/A,3.1,ap-northeast-2
m6g.large,2,8.0,N/A,2.5,ap-northeast-2
m5a.8xlarge,32,128.0,N/A,2.5,ap-northeast-2
r5b.2xlarge,8,64.0,N/A,3.1,ap-northeast-2
i4i.large,2,16.0,468,3.5,ap-northeast-2
u7in-16tb.224xlarge,896,16384.0,N/A,1.9,ap-northeast-2
